 
****************************************
Report : resources
Design : ViT_top
Version: R-2020.09-SP5
Date   : Thu Nov 20 18:19:08 2025
****************************************


Resource Report for this hierarchy in file ../hdl/ViT_top.v
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
| O2    | PO   | Unsigned | 20    | O1 + I17 (ViT_top.v:1374)                |
==============================================================================

Datapath Report for DP_OP_1067J1_125_5797
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_1067J1_125_5797 | mult_1318 (ViT_top.v:1318)                         |
|                      | add_1333 (ViT_top.v:1333)                           |
|                      | add_1333_2 (ViT_top.v:1333)                         |
|                      | add_1333_3 (ViT_top.v:1333)                         |
|                      | add_1333_4 (ViT_top.v:1333)                         |
|                      | add_1333_5 (ViT_top.v:1333)                         |
|                      | add_1333_6 (ViT_top.v:1333)                         |
|                      | add_1333_7 (ViT_top.v:1333)                         |
|                      | mult_1318_I2 (ViT_top.v:1318)                       |
